"API Key","API Key"
"Credentials","Credenciales"
"Crop","Recorte"
"Effects","Efectos"
"Enable","Habilitado"
"Fill","Rellenar"
"Filters","Filtros"
"Free","Gratis"
"Need an account? <a href=""http://www.thumbr.io/signup"" target=""_blank"">Create one!</a>","¿Necesita una cuenta? <a href=""http://www.thumbr.io/signup"" target=""_blank"">¡Cree una!</a>"
"No","No"
"None","Ninguno"
"Paid","Pago"
"Secret Key","Clave secreta"
"Service","Servicio"
"Smart Crop","Recorte Inteligente"
"Type","Tipo"
"Yes","Si"
